query_id,system,P@10,R@20,F1,hallucinated_or_out_of_pool,total_tokens,latency_s
litsearch_000,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_000,bm25,0.0,0.0,0.0,0,0,0.0
litsearch_000,neural_embedding,0.0,0.0,0.0,0,0,0.0
litsearch_000,single_llm,0.0,0.0,0.0,0,3299,17.032120699994266
litsearch_000,scholarloop_a,0.0,0.0,0.0,0,256,2.1010349999414757
litsearch_001,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_001,bm25,0.1,1.0,0.18181818181818182,0,0,0.0
litsearch_001,neural_embedding,0.1,1.0,0.18181818181818182,0,0,0.0
litsearch_001,single_llm,0.1,1.0,0.18181818181818182,0,4595,33.33846719993744
litsearch_001,scholarloop_a,0.1,1.0,0.18181818181818182,0,280,2.391270999913104
litsearch_002,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_002,bm25,0.1,0.5,0.16666666666666669,0,0,0.0
litsearch_002,neural_embedding,0.1,0.5,0.16666666666666669,0,0,0.0
litsearch_002,single_llm,0.1,0.5,0.16666666666666669,0,2949,15.506726699997671
litsearch_002,scholarloop_a,0.1,0.5,0.16666666666666669,0,278,2.174585200031288
litsearch_003,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_003,bm25,0.0,0.0,0.0,0,0,0.0
litsearch_003,neural_embedding,0.0,0.0,0.0,0,0,0.0
litsearch_003,single_llm,0.0,0.0,0.0,0,3017,18.70027689996641
litsearch_003,scholarloop_a,0.0,0.0,0.0,0,267,2.426316999946721
litsearch_004,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_004,bm25,0.0,0.0,0.0,0,0,0.0
litsearch_004,neural_embedding,0.1,1.0,0.18181818181818182,0,0,0.0
litsearch_004,single_llm,0.0,0.0,0.0,0,3380,23.978676700033247
litsearch_004,scholarloop_a,0.0,0.0,0.0,0,251,2.448701599962078
litsearch_005,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_005,bm25,0.0,0.0,0.0,0,0,0.0
litsearch_005,neural_embedding,0.1,1.0,0.18181818181818182,0,0,0.0
litsearch_005,single_llm,0.1,1.0,0.18181818181818182,0,1947,7.276718500070274
litsearch_005,scholarloop_a,0.1,1.0,0.18181818181818182,0,247,2.2126000999705866
