query_id,split,system,P@10,R@20,F1,NDCG@20,hallucinated_or_out_of_pool,total_tokens,latency_s
litsearch_000,test,keyword,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_000,test,bm25,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_000,test,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_000,test,single_llm_frozen_m010,0.0,0.0,0.0,0.0,0,1533,9.290098900091834
litsearch_000,test,scholarloop_a_v1_frozen,0.0,0.0,0.0,0.0,0,257,1.9945264999987558
litsearch_000,test,scholarloop_a_v2_no_rerank,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_000,test,scholarloop_a_v2,0.0,0.0,0.0,0.0,0,0,1.2771272999998473
litsearch_001,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_001,train,bm25,0.1,1.0,0.18181818181818182,0.3333333333333333,0,0,0.0
litsearch_001,train,neural_embedding_v2,0.1,1.0,0.18181818181818182,1.0,0,0,0.0
litsearch_001,train,single_llm_frozen_m010,0.1,1.0,0.18181818181818182,1.0,0,1436,8.946943399962038
litsearch_001,train,scholarloop_a_v1_frozen,0.1,1.0,0.18181818181818182,0.5,0,329,2.8893593000248075
litsearch_001,train,scholarloop_a_v2_no_rerank,0.1,1.0,0.18181818181818182,1.0,0,0,0.0
litsearch_001,train,scholarloop_a_v2,0.1,1.0,0.18181818181818182,1.0,0,0,1.7707188000022143
litsearch_002,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_002,train,bm25,0.1,0.5,0.16666666666666669,0.6131471927654584,0,0,0.0
litsearch_002,train,neural_embedding_v2,0.1,0.5,0.16666666666666669,0.6131471927654584,0,0,0.0
litsearch_002,train,single_llm_frozen_m010,0.1,0.5,0.16666666666666669,0.38685280723454163,0,1125,5.650182000012137
litsearch_002,train,scholarloop_a_v1_frozen,0.1,0.5,0.16666666666666669,0.6131471927654584,0,335,2.429816900053993
litsearch_002,train,scholarloop_a_v2_no_rerank,0.1,0.5,0.16666666666666669,0.38685280723454163,0,0,0.0
litsearch_002,train,scholarloop_a_v2,0.1,0.5,0.16666666666666669,0.6131471927654584,0,0,1.6367146000011417
litsearch_003,holdout,keyword,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_003,holdout,bm25,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_003,holdout,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_003,holdout,single_llm_frozen_m010,0.0,0.0,0.0,0.0,0,1457,9.030180000001565
litsearch_003,holdout,scholarloop_a_v1_frozen,0.0,0.0,0.0,0.0,0,323,2.7739502999465913
litsearch_003,holdout,scholarloop_a_v2_no_rerank,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_003,holdout,scholarloop_a_v2,0.0,0.0,0.0,0.0,0,0,1.2416290000001027
litsearch_004,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_004,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_004,train,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_004,train,single_llm_frozen_m010,0.0,0.0,0.0,0.0,0,1184,6.7808608000632375
litsearch_004,train,scholarloop_a_v1_frozen,0.0,0.0,0.0,0.0,0,246,2.1432660999707878
litsearch_004,train,scholarloop_a_v2_no_rerank,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_004,train,scholarloop_a_v2,0.0,0.0,0.0,0.0,0,0,1.3635123999993084
litsearch_005,holdout,keyword,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_005,holdout,bm25,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_005,holdout,neural_embedding_v2,0.1,1.0,0.18181818181818182,1.0,0,0,0.0
litsearch_005,holdout,single_llm_frozen_m010,0.1,1.0,0.18181818181818182,1.0,0,1161,6.0777270999969915
litsearch_005,holdout,scholarloop_a_v1_frozen,0.1,1.0,0.18181818181818182,0.5,0,315,2.3523181999335065
litsearch_005,holdout,scholarloop_a_v2_no_rerank,0.1,1.0,0.18181818181818182,0.5,0,0,0.0
litsearch_005,holdout,scholarloop_a_v2,0.1,1.0,0.18181818181818182,0.43067655807339306,0,0,1.7733654999974533
litsearch_006,train,keyword,0.1,1.0,0.18181818181818182,0.5,0,0,0.0
litsearch_006,train,bm25,0.1,1.0,0.18181818181818182,0.31546487678572877,0,0,0.0
litsearch_006,train,neural_embedding_v2,0.1,1.0,0.18181818181818182,0.38685280723454163,0,0,0.0
litsearch_006,train,single_llm_frozen_m010,0.1,1.0,0.18181818181818182,1.0,0,1666,10.198197399964556
litsearch_006,train,scholarloop_a_v1_frozen,0.0,1.0,0.0,0.2559580248098155,0,292,2.0379330000141636
litsearch_006,train,scholarloop_a_v2_no_rerank,0.1,1.0,0.18181818181818182,0.38685280723454163,0,0,0.0
litsearch_006,train,scholarloop_a_v2,0.1,1.0,0.18181818181818182,0.5,0,0,1.6706976999994367
litsearch_007,test,keyword,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_007,test,bm25,0.1,1.0,0.18181818181818182,1.0,0,0,0.0
litsearch_007,test,neural_embedding_v2,0.1,1.0,0.18181818181818182,0.6309297535714575,0,0,0.0
litsearch_007,test,single_llm_frozen_m010,0.1,1.0,0.18181818181818182,1.0,0,1891,11.709296899964102
litsearch_007,test,scholarloop_a_v1_frozen,0.1,1.0,0.18181818181818182,1.0,0,332,2.2524357999209315
litsearch_007,test,scholarloop_a_v2_no_rerank,0.1,1.0,0.18181818181818182,1.0,0,0,0.0
litsearch_007,test,scholarloop_a_v2,0.1,1.0,0.18181818181818182,1.0,0,0,1.279009900001256
litsearch_008,train,keyword,0.1,0.3333333333333333,0.15384615384615383,0.2960819109658652,0,0,0.0
litsearch_008,train,bm25,0.1,0.3333333333333333,0.15384615384615383,0.14126697285982898,0,0,0.0
litsearch_008,train,neural_embedding_v2,0.2,0.6666666666666666,0.30769230769230765,0.4367467095119258,0,0,0.0
litsearch_008,train,single_llm_frozen_m010,0.1,0.3333333333333333,0.15384615384615383,0.2960819109658652,0,1169,5.438845099997707
litsearch_008,train,scholarloop_a_v1_frozen,0.1,0.6666666666666666,0.1739130434782609,0.59609574285515,0,333,2.4684784000273794
litsearch_008,train,scholarloop_a_v2_no_rerank,0.1,0.6666666666666666,0.1739130434782609,0.59253456521548,0,0,0.0
litsearch_008,train,scholarloop_a_v2,0.1,0.6666666666666666,0.1739130434782609,0.581817614818224,0,0,1.694631999998819
litsearch_009,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_009,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_009,train,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_009,train,single_llm_frozen_m010,0.0,0.0,0.0,0.0,0,1236,6.698766499990597
litsearch_009,train,scholarloop_a_v1_frozen,0.0,0.0,0.0,0.0,0,213,1.5339700999902561
litsearch_009,train,scholarloop_a_v2_no_rerank,0.1,1.0,0.18181818181818182,0.6309297535714575,0,0,0.0
litsearch_009,train,scholarloop_a_v2,0.0,1.0,0.0,0.23981246656813146,0,0,0.8292242999996233
litsearch_010,test,keyword,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_010,test,bm25,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_010,test,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_010,test,single_llm_frozen_m010,0.0,0.0,0.0,0.0,0,1117,5.490853899973445
litsearch_010,test,scholarloop_a_v1_frozen,0.0,0.0,0.0,0.0,0,277,2.3943246999988332
litsearch_010,test,scholarloop_a_v2_no_rerank,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_010,test,scholarloop_a_v2,0.0,0.0,0.0,0.0,0,0,1.811134999999922
litsearch_011,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_011,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_011,train,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_011,train,single_llm_frozen_m010,0.0,0.0,0.0,0.0,0,1406,8.563344599911943
litsearch_011,train,scholarloop_a_v1_frozen,0.1,1.0,0.18181818181818182,0.3010299956639812,0,284,1.8838285999372602
litsearch_011,train,scholarloop_a_v2_no_rerank,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_011,train,scholarloop_a_v2,0.0,0.0,0.0,0.0,0,0,2.099934199999552
litsearch_012,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_012,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_012,train,neural_embedding_v2,0.1,0.5,0.16666666666666669,0.17723928678404774,0,0,0.0
litsearch_012,train,single_llm_frozen_m010,0.0,0.0,0.0,0.0,0,2165,15.440216499962844
litsearch_012,train,scholarloop_a_v1_frozen,0.0,0.0,0.0,0.0,0,291,2.3819325000513345
litsearch_012,train,scholarloop_a_v2_no_rerank,0.1,0.5,0.16666666666666669,0.2640681225725909,0,0,0.0
litsearch_012,train,scholarloop_a_v2,0.1,0.5,0.16666666666666669,0.21840743681816419,0,0,1.8243846999976085
litsearch_013,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_013,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_013,train,neural_embedding_v2,0.0,0.5,0.0,0.16104282508920814,0,0,0.0
litsearch_013,train,single_llm_frozen_m010,0.0,0.0,0.0,0.0,0,903,3.9406989999115467
litsearch_013,train,scholarloop_a_v1_frozen,0.0,0.0,0.0,0.0,0,320,2.334239499992691
litsearch_013,train,scholarloop_a_v2_no_rerank,0.0,0.5,0.0,0.15693994437792994,0,0,0.0
litsearch_013,train,scholarloop_a_v2,0.0,0.5,0.0,0.16569576576522954,0,0,2.03950370000166
litsearch_014,train,keyword,0.1,1.0,0.18181818181818182,1.0,0,0,0.0
litsearch_014,train,bm25,0.1,1.0,0.18181818181818182,1.0,0,0,0.0
litsearch_014,train,neural_embedding_v2,0.1,1.0,0.18181818181818182,0.6309297535714575,0,0,0.0
litsearch_014,train,single_llm_frozen_m010,0.1,1.0,0.18181818181818182,1.0,0,879,2.4938138000434265
litsearch_014,train,scholarloop_a_v1_frozen,0.1,1.0,0.18181818181818182,1.0,0,256,1.862074900069274
litsearch_014,train,scholarloop_a_v2_no_rerank,0.1,1.0,0.18181818181818182,0.6309297535714575,0,0,0.0
litsearch_014,train,scholarloop_a_v2,0.1,1.0,0.18181818181818182,1.0,0,0,1.3093413999995391
litsearch_015,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_015,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
litsearch_015,train,neural_embedding_v2,0.1,1.0,0.18181818181818182,1.0,0,0,0.0
litsearch_015,train,single_llm_frozen_m010,0.0,0.0,0.0,0.0,0,1513,10.446218900033273
litsearch_015,train,scholarloop_a_v1_frozen,0.0,1.0,0.0,0.2559580248098155,0,257,1.9117255999008194
litsearch_015,train,scholarloop_a_v2_no_rerank,0.0,1.0,0.0,0.23137821315975915,0,0,0.0
litsearch_015,train,scholarloop_a_v2,0.0,0.0,0.0,0.0,0,0,1.5915087000030326
litsearch_016,test,keyword,0.0,0.0,0.0,0.0,0,0,0.0
